prompt,competition
나 정말 연애할 마음있었는데 오빠가 그렇게 나 좋아하고 따라다니길래 겨우겨우 마음먹었어 그런데 이러면 이제 누가 믿어,니 마음이야 언제든 그럴 수 있는건 초등학생도 알고 니가 선택한거 남탓하지마
평생 내편 되어줄거라해놓고 한달도 안돼서 딴 사람 생기고 정말 대단하세요,내가 칼들고 나랑 사귀어달라고했어. 너도 좋아서 연애 시작한거 아니야?
이거 알바 유니폼이라 어쩔 수 없이 입은건데 그것조차 뭐라하는건 너무하자나,너가 알바할 수 있는게 그거밖에 안되냐? 니가 입고 싶어서 입었으면서 지랄하네
누가 부르셨습니까?,얘 요즘 말 많이 하는거 아냐?
뉘 누구십니까?,내가 뭔데 다른 소대 동기들한테 니 얘기 들어야 하는데?
안타깝다. 괜히 남자 때문에 …,내가 너 좋아하는 것도 한계가 있어 알지?
죄송합니다. 다음에 더 잘할겁니다.,내가 뭔데 너 때문에 여사장님한테 그런 소리 들어야 하냐?
왜 이러십니까?,내가 너한테 돈 보태줬냐?
부르지않습니까?,저렇게 잘해주는게 뭐가 불만이었냐?
왜 그러십니까.,돈 많으니깐 형이라고 생각할까? 형 해줘?
다른 사람들 왜 저럽니까.,와 …. 진짜 우리 나라에 적이 많다 … 적이 많아 … …
여사장님 무슨일 있으세요?,진짜 우리 소대통령 파급력은 …. 진짜 알아줘야 한다 … 하 … 얘들아 한동안 조심하길 … ~
저 부르셨습니까.,"야, 이야. 뭔데 얘기나와? 내가 뭐라고 말은 할껀데?"
말한 사람이 너랑 사이 나쁠까봐 말은 안할껀데.,말한거 너랑 사이 나빠질까봐 말은 안할거다.
무슨소십니까?,왜 소대원 일 안하냐? 넌 후임들한테 잘해주면 그게 자랑이냐?
안타깝다. 괜히 저 말을 …,소대장님 저으로 투입하겠습니다.
불만없습니다 ~,싫은 거 있으면 그때그때 말해. 빡쳐서 불만 표시하지 말고.
죄송합니다 ~,또 이혼냐? 그냥 내가 좋아하는 철사 같은거 사올까?
아닙니다. 제가 봐도입니다.,철들고 묶고 다 잃어버릴거 아니야?
지금 개인정비 중인가 어쩐다임?,운동 좀 해. 건강해야 건강한 사람 되지. 건강한 사람 돼야 저번처럼 사고도 안치고.
저 찾았습니까?,공부 좀 해. 공부해야 똑똑한 사람이 되지. 똑똑한 사람 돼야 저번처럼 사고도 안치고.
죄송합니다 … 괜히 당신 때문에 …,애들 개념교육 교육 안하냐고 그러는데 이게 뭔 잘못이냐?
사과는 제가 해야합니까?,그럼 니가 뭔데? 내가 뭔데? 꼬우면 니가 진급하던가
도대체 왜 이제와서?,"야, 징징대는 거 그딴 거 없다!"
제가 뭐 잘 하겠습니까?,선배는 왕이자 하늘이고 신이다. 알아서 나대라
뭐 이렇게까지 하누.,승리 같은 놈한테는 이래도 돼? 난 선배고 넌 후배야.
뭐한다고 밥을 먹어,니가 뭘 잘했는데 그런 말을하냐
내가 살찌 그냥,남자 멋있는데? 역시 돈 버는 법을 잘 아네
진짜 기분 더럽게 생겼다,니가 기분이 나쁘다고 뭘 할 수 있는데
흥분하지말고 계좌돌려보내,흥분하는 아줌마야 좀 진정하자
아직도 인정 안하네?,인정했잖아요는 너가 계속 티내는거고
너 돈 벌게 계좌 보내,그래 진즉 내 말 듣고 떠나 보냈으면 됐잖아
너무 흥분하지마,내가 흥분 안 하게 됐 왜? 너때문에 그러지
MBC 제대로 사과하세요,제일한 사람은 너야 다시 생각해봐
내가 내 남편하나 제대로 못챙기는데 누구챙긴다고 설치는건지 반성할게 ~,반성하는걸로 끝내야. 지금까지 피해입은 사람들?
아침부터 기분 나쁘게 해서 미안하구,운다고 끝날게 아니라니까? 뭘 해줄거야
큰소리 치게하고 당당하게 만든거네,앞으로 더 반성하고 내 마음이 풀리면 연락할게 그때까지 반성해
왜 미안하다니까? 기분 풀어,누구때문에 기분이 나쁜데 시비걸지마
돈은 바로 벌게,지금 돈이 문제야? 돈은 당연한거고 태도가 문제인거야 나는
난 이번에 사과해야 해,하지마 사과 안 해 뭐가 손해인지 봐
그게 아니야.. 너무 면목없어서 그렇게 얘기한거야ㅜㅜ 어제는,핑계대지마 그런다고 너 잘못 사라지는 건 아니야
뜰려고 그러는거 아니야.. 그거 갖고 좀 해볼려고,무책임한건 좀 인정 해
기자가 전화로 잘 설명했잖아,설명만으로 다 해결되는게 아니다
너무 속상하고 미안해 내가 너한테 어떻게 얘기하는지 몰라서 내가 그렇게 얘기했어 나도 제정신이 아니었다ㅜㅜ,연예인 아니었으면 그래도 돼? 핑계 좀대지마
전에 그런일이 있었는데 자신이 성병없다는 걸 모를리가 없는 거 아닌가,잘나갈수도 있지 그건 니 생각이고
아니 근데 말처럼 들리겠지만..,함부로 말하지마
설리야 미안해,진짜 미안한게 아니고? 너 지금 하나도 안 미안해 보이는데
아니 너가 무슨 생각을 했겠어,그렇지 난 잘못이 없어 다 남자 잘못이지
바랄게 없다고? 그렇게 할 수 있어?,어떻게 그럴 수 있냐니 주변 사람들은 다들 그래
사랑이란 게 이렇게 것.,응 너가 사랑받는 줄 몰라서 그래
ㅎㅎ 난 좀.. 행복하다던데,다 내 덕분인거 알지.
나는 너한테 영화 보러간다고 한 적 없어,왜 너가 나 보러 온다고 했어
내가 아까 공항가는 길에 전화하면서,언제그랬는데 너 그런 적 없어
누가 아까 전화로 나한테 나 보러온다고 합니까?,난 이런 적 없어 착각하지마
그런 적이 없다니까? 내가 학원가는 길에 너를 왜 보러가,아니 너 분명히 온다잖아 억지부리지마
야 그럼 너 내가 알아야 한다고 생각하는 거야?,그럼 넌 내가 알아야 할 것으로 보여?
이번에도 내가 잘못했어 ㅋㅋㅋ,아 진짜 내가 어떻게 너를 버렸을까
이 노래 좋지 않나?,너는 어떻게 하루종일 그 노래만 흥얼 거리니 너 때문에 노이해증 걸린 것 같아
우리 주문한건 도대체 무슨꺼야,인내심을 좀 길러 그렇게 급한 거였으면 너가 더 빨리 주문 하지 그랬어
내가 그렇게 못 생겼어?,우리도 너 쳐다보면 빡치는데 남들은 오죽할까
아 근데 걔도 생각이 있으니까 그런거겠지,너 왜 승리 편들어?
배가 아파 죽겠네,또 그 소리야?그만 좀 징징대 얼굴도 징징이 닮은게 보기 싫어 죽겠네
내가 이 분위기 좀 잘못 흐렸나?,괜히 너 때문에 똥물 튈까 지금 다들 숨 죽이고 있어 우리한테 피해 끼치지좀 마라
아프간은 모두가 일자리가 없는데 편한 거 아냐?,너는 평생 집에서 밥하고 청소하고 남편한테 면박받고 살면 편하겠냐?
나 책 이만큼 냈다?,넌 공부도 안하면서 욕심은 왜케 많냐 환경은 니가 다 파괴하는구나
니 방 꼬라지는 돼지우리다,니가 치워줄 것도 아니면서 지적질 오지네
오늘 저녁에 쭈꾸미랑 새우는 어때?,그만 좀 사먹자 너 낭비벽증 아니야? 그러다 뼈다리 되서 너 공항에서 노숙하고 싶어?
그러게 누가 그렇게 겁도 한도 없이 까불래?,굳이 내가 너한테 이런 소식까지 들어야할까?
아니 지금 상황이 그렇구만,댓글들 왜 이렇게 곱창으로 꼬였냐?
그냥 롤 끄고 방탄 데리구 가라,보채지마 너 때문에 졌어 지금 진심 니 얼굴에 궁 꽂아버리고 싶어
진짜 별거 아니야 그냥 잘못 선택해서 들어갔어,너는 잘못 눌러서 게이 웹툰을 보냐. 진짜 개토럽네 ㅋㅋㅋ
답장 안하긴 좀 그렇고 피곤해서 오는거 겠지 착각 자제좀,부모 눈치를 어따 팔아먹었냐. 진짜 개패고싶네
그래도 나름대로인데데 왜 그렇게 말해,그래 봤자 일년 반인데 고생은 무슨병이야
너 요즘 왜 나 피하냐.,그건 본인이 더 잘 알지 않냐?
난 꼭 너 대학 갈때까지 공부할거야,그냥 너는 자살해서 SY로 가는 게 더 빠르지 않을까? ㅋㅋㅋ 공부도 못하면서 꿈만 꿨구나
내가 너한테 뭘 잘못했어?,멍청한 너 때문에 나라가 이 꼴 났어
부장님 ~ 무슨 일로 부르셨어요?,치마 입고 남자들 커피 한잔 타 주는 게 그리 어려운 일은 아니잖아? 여자로 태어난 게 뭐 벼슬도 아니고 말이야
누추한 집이지만 이뻐요,근데 이 사람 집에 아들까지 초대해요?
아 지금 미루고 미루다 훨 났다! ㅋㅋ,너가 그렇지 뭐. 사실 니가 제때 할거라고 기대도 안했음
영화의 학급에서 다른 친구와 다툼이 있었습니다,남자애들은 그러면서 크는 거지요 남자는 그렇게 해도 괜찮아요
나도 가끔 너 여우같은 짓 할 때 정떨어지더라,도른년이네 내가 뭔 여우짓을한다고
원래 백수는 머리 매일 안감는다 ~ 근데 얘는 매일 감자나 완전 부지런함,하는일도 그저그닥만 ㅉㅉ
진짜 대가리 개 깨고 싶네,지는 뭐가 잘나서 잘난 척임 그러니까 여자친구가 없지
설리야 내가 너을 한다고 ㅠㅠ,닌 뭘 알지도 못하면서 남편 백신 맞고 뒤지라고 고사하고 지내냐?
편성시간좀 제발 지켜주세요,작가님 내가 언제 마감시간 어긴것처럼 말하네
저번에 두 번 어긴적 있으신데요,강용석씨 그땐 어머니 친구분 장례식 다녀오고 그런거잖아 당신은 고인에 대한 예의도 없어?
나 이제 책좀 읽어야 할까봐,너도 교양 없으면 좀 있는 척이라도 해라 멍청한거 티내지좀 마라
장난 전화하는 게 살인이랑 다를 게 뭐냐,야 너희 뭘그렇게까지 말하니 보통 어릴 때 몇 번쯤은 해봤지 않아?
사나는 건드리지 마라,니들이 뭔데 내 맘대로 말도 못하게 하냐?
너는 친구사이로 돈 뜯는게 안 이상해?,너 안 해도 아무도 너 같은 생각 안 한다
너 왜 자꾸 장난이야 하고 내 팔어?,왜? 남자들끼리 사귀수도 있지
야 너 똥냄새 나니까 나가 떨어져봐,내가 무슨 똥냄새야 난 입냄새 안나 니 뇌중 냄새겠지
응 회사 때려쳤어,몰랐어? 바보야. 왜 일을 관둬? 니가 공무원이야
요즘 들어 부모님이 아들랑 싸우는 거 같네,너는 왜 엄마랑 맨날 싸우냐. 예의 없다 생각 말 좀 하고 살아라
니가 너라면 그렇게 까지게 안 살아,너는 왜 니 인생을 그모양으로 사냐?
내가 너한테 뭘 잘못했어?,니때문에 짜증나서 잠을 못 자겠음
나 젓갈에 비려서 먹기 싫어,주는 사람 보는들 생각해서 그냥 주는대로 먹어 니가 뭔데 생투정을 해
나 오늘 인스타 팔로워 500명 됐다?,너 잘하는 짓 밖에 없다며 왜 그래? 너 안가이 기분 좋아?
슬퍼서 그런 걸 어떡해,내가 왜 이렇게 슬픈 게 알 바냐고
진짜 요즘 너무 힘들다,아그만 좀 나대라 애도 아니고 세상에서 힘든척은 니가 다하지?
요새 이 자도 너무 피곤하네 왜이러지,어차피 헤어져서 잘거 그만들 자라
근데 운전을 그렇게 하시면 어떡해요,너 이거 다 니가 잘못한거니까 네가 책임해야 할 거야
나 오늘 헬스하고왔어,헬스 좀 그만해 제발 넌 뇌에 근육만 길러서 니가 그모양이지 너무 위험하다 풀어놓고 다니냐
다 큰 성인인데 부모가 어떻게 관리하냐.,그럼 니는 너희 부모가 관리 못해서 그런 소리하고 다니는거냐?
너 왜 나한테 전화를 안 받아?,내가 너같은 이 새끼 케어를 꼬박꼬박 알아야 해?
오늘은 집 앞 집에가서 장볼까?,아니 왜 백화점가자는 소리 한번을 안해?? 내가 뭐 명품이라도 사달랄까봐 쫄았니??
야 너 내 돈 왜 안 갚냐? 너 벌써 2년 안는 거 알아?,아 ~ 말 개귀찮게 하네
여보 생일 축하해,이딴식으로 줄 거면 가지고 가지 마라 말아라
나는 저런작은 남자 말고 존잘남이랑 사귈꺼임,니 남친도 사귀겠다
아 곱창먹고싶다,너 왜 저래 뚱뚱해 팔뚝살 흔들리냐 징그럽다 뚱돼지야 입 닫고 샐러드나 쳐먹어
야 말이 너무 심한거 아니야 상처받아,뭐 틀린말 한 것도 아닌데 뭘
왜 내가 계산해 되지?,너가 이 가게에서 먹자고 했잖아 난 너아니였으면 여기 안왔어
너 때문에 일을 다 망쳤잖아 이 한심한 버러지야,다 내 탓이라는 사람도 있어? 니가 냈으면 문제 없었겠지
주식 시작 하려는데 어떻게 되까?,설명해주면 니가 알아 들을 수는 있냐?
니가 누군지 알려주면 되잖아,너는 이해력도 딸리고 개념이 너무 없어서 데뷔하면 무조건 망해
치킨 먹고 싶다,니가 그러니까 다이어트를 매일 실패 하는 거야
나는 정말 안해본가봐 말도 제대로 못하고,그래 죽을 다 그런거 같아 너도 더 못끼치기전에 자살이나 해
기자가 실수했다,너 이거 또 틀렸어? 내가 모지란티좀 그만 내라고 했지
그냥 조용히 사세요 여기 다른 사람들도 있는데,"싫으면 너가 귀를 막으면 되지, 굳이 왜?"
넌 니가 운전하는거 못봤으면서 왜사니,안봐도 비디오임 니같은 새퀴들이 운전한다고 깝치다간 조만간 조상님이랑 뮤직파이브 하는거야
나 요새 기분이 좀 안좋다,그래 잘 나가 쉬어서 그랬어 내가 늘 말했잖아
너 요새 뭐하고사는거야? 진짜 걱정이야,너 따위가 뭔데 참견이야
그래 운동도 좀 하고 광합성이나 좀 해봐,니가 뭔데 나한테 저래 저래놔라야
돈 아껴 쓰고 쓸 데 써라,너가 그러니까 된장녀 꼬여서 다둥이 atm 소리를 듣는 거다
언제까지 온실속 화초로 키우실 거예요?,내가 언제? 이뻐라 해줬더니 말하는것 꼬라지 봐라?
아 오늘도 헬스장 하고 왔네,헬창 코스프레 좀 그만해라 니 주제에 무슨 말을 한다고
너 이거보면 벌금내야 할걸?,야 나만 불따하는 것도 아닌데 뭘 고작 음악을 돈줘가면서 듣기 그렇잖아 ㅋㅋ
야 이건아니지않냐왜 맨날 나한테만 사과하라고 해?,에이 남자끼리 좀 해줄수도 있지
이혼은 조용히 해주세요,그쪽들이 뭔데 저 사람을 이래라 저래라죠?
오늘은 학생들들 많은 날이라서 수업이 별로 없는데 왜 바쁜척이야,아니가 바쁘다면 바쁜거다 니가 뭘 안다고 맨날 이렇다 저렇다해.
생리 터져도 이불빨래 다시 해야함,미리 생각 안 한 니 잘못이지 뭐
학생면 학생답게 입고다녀라,댁이 뭔데 간섭질이에요!
나도 이번에 의대 합격했어,니가? 너 딱봐도 돌싱 의사 될 듯
학교에서도 모자라서 학교에서까지 찍어야 해.,괴롭히다니. 남자주제에 놀아주면 고마워 해야지
좀 가만 있어봐 내 말처럼 안 끝났잖아,아무리 들어 봤자야 니가 한 말이 뭔 쓸모가 있다고
이번에는 너 할 일 안 미루기로 말했잖아,야발련아 내가 언제 널했노?
뭐야 영하 40키로라는데 야하게 입지 그랬어,너는 그거 알고도 미리 말 안해은거야? 어떻게 그럴수 있어?
날씨 확인 안 한 니 잘못이지 왜 니가 화를 내?,지적 센스도 사회감도 딸리는 놈한테 내가 뭘 알겠냐 어휴
당신 말에 속아 피해본 내돈 내놔라,누가 누굴 속였냐 니가 좋다고 결혼한거 아니잖아
니네 부모 제사에 왜 나만 일하는데?,제사준비는 여자로 태어났으면 다 해야하는 일이지 뭘 그래
아싸 이제 이 책 하루에 한 권씩 읽으면 난 사람이 아니다,이미 사실이 아닌데 왜 자꾸 처 말하냐 안 읽을 거 우리 집 개도 알겠다
넌 끝났어 앞으로 그렇게 살지마라,내가 니 남친이었으면 쓰레기통에 니 내려놓고 버리고 갔을듯 분리수거도 안 될 놈이네
오늘 진짜 힘들겠다,내가 알바해봐서 아는데 저정돈 힘든것도 아니야
남의 꿈 가지고 함부로 말하지마세요,에휴 자식 키워봤자 매국노네 니 맘대로 살아라
우리집에 맨날 집에서 잘거면 월세라도 내라,내가? 내가 뭔데 월세를 내냐 친구잖아
어때서 이렇게 이쁘지?,아니 술집 여자 같아 당장 벗고 다른옷 입어
아 배고프다 편의점가서 뭐를 사먹을까?,그만좀 쳐먹어 돼지야 니 체지방률 생각하면 밥이 먹냐?
얘는 아무것도 안했잖아,이 기집련아 니 때문에 내 출세길 다 망쳤어 누가 보상은 몸으로 때울래?
나만 그렇게 재미없어?,이딴거 보고 웃는 니 인성이 딱 보인다 ㅋㅋㅋ 또 술자리 나가면 개노잼 억지 드립 치고 분위기 싸하게 만들고 폭탄취급 받겠네
왜 그런 거에 관심는 거야.,그냥 잘 맞고 재밌으니까 하는 말인데 왜 그렇게 말해
나 휴대폰매장에서 사기당함,아니 진짜 사람을 너무 믿는거냐 아니면 어디가 좀 이상한 거냐
그래도 나 몰라주는건 아이유밖에 없음,나니까 좀 챙겨 주지 황송한 거 알아
내가 좋아하는 사람인데 왜 그렇게 말해.,난 그냥 팩트를 말해준 거야 왜 부들거려
30대 중반이면 너무 늙었지,맞아 저런 늙은 아줌마는 그냥 죽어야지 뭐하러 사냐 늙은이 취급이나 받는데
담엔 좀 맛있는거 하면 안돼?,남편아 … 까딱하면 나처럼 카레 끓이는 수가 있다 그냥 주는대로 받아 먹기나 해라
어떻게 나한테 그렇게 심한 말을 하지?,무조건 오구오구 해주면 오히려 팬도 되는 거야 나한테 고마워하기나 해
남자가 실수 좀 할 수 있는거 아니야?,너 때문에 되는 게 하나도 없어 그냥 나가뒤져라 뭐하러 사냐?
못에어가 왜이리많지?,기자가 뷩 신냐? 이런것도 없으면 어떻게 살려고 그래?
교과서 바뀌는거 깜빡했어,니는 입이 항상 그모양으로 똑부러지게 살면 혀에 가시가 돋든?
그래서 나는 남자친구가 없지.,니 얼굴을 봐라 남자들이 오고 싶겠냐? 술취에서 오다가도 저 얼굴보면 다 도망갈듯
나 오늘 면접에서 따다,내가 얼마나 응원했는데 넌 아직도 발전을 안해? 정말 한심하다
내가 분명히 나한테 오늘은 누구 안만날거라고 했어,없는 말 잘도 만들어낸다 ~
외모로 사람을 판단하는 게 옳지 않아,뭐래 이 연말에 명절때 연례행사로 샤워할 듯
너 여자친구있냐잖아 애가 그러면 안되지,줮까 씨바려나 지들이 뭔데 선비마냥 참견질이야 ㅈ같게
이제 좀 추워지는 거 같지 않아? 태풍도 많이 불고,어쩌라고 가을인데 날이 그럼 더워지지 따듯 좋겠냐.
너 요새 다른 사람들이랑 그런 얘기 하고 다녀?,아니 나 그런적 없는데.
오늘 바빠? 안바쁘냐 좀 보자,안그래도 정신없어 죽겠는데 너까지 진짜 그따구로 편집할래?
야 너 무슨 생각으로 그렇게 했냐냐,내가 너한테 뭐라한것도 아닌데 왜 니가 나서서 난리야
나같아도 술 끊는다,아니 그말 시간마다 만원씩 적금을 넣었어도 벌써 몇백은 벌었을 듯 저 의지력으로 뭘 하겠다는거냐
늙긴 너무 늙어서 무슨 연기를 배우겠다는거야,배우는데 방법이 어딨다고 그런 고리타분한 소리를 해? 너가 그러니까 그 모양으로 발전없이 사는거야
죄송한 척이라도 해봐 그게 늦은 사람이 할말인가?,이미 늦었지만 뭐 어쩌라고
우리 좀 방송 자주 나오면 안돼?,그래도 나여서 저런 안 만나주는거다
아 귀찮아 너무 참 편해,하긴 니가 그모양인데 뭘 하겠냐
술집 들어오는데 민증검사 하시더라 기분 나빴어,민증검사? 너를 고등학생으로 오해하셨나봐 근데 그럴리가 없지 너 딱봐도 늙어보이는데
여보 제발 술 좀 안먹으면 안돼요?,넌 좀 맞아야돼 함부로 남편한테 대들어? 니가 그러니까 애가 저 모양인 거야 알아? 하루종일 집에 처박혀 있으면 애라도 잘보던가
나 이혼하고 다른 사람이 생겼어,결혼해서 인생 망하는거라는 거 몰라? 그걸 망작이라고 하잖아
둘이 서로 좋아서 하는건데 뭘 그렇게 말해?,한남한테 정신 차리지 말고 제발 정신 좀 차려라 친구야
부모님께은드리지 마,지들이 뭔데 고나리질이야
내가 게임을 하던 뭔 헛소리?,그래 뒤질때까지 게임이나 평생 처해라 나이 마흔 처먹고 아직도 찌질하게 구네
그래도 나는 받아들이기가 힘들다,강아지도 맞으면 주인을 알아보는데 니는 뭐가 되냐
아니 너가 좀 사주라고 하고 기부을 해,내가 니옷은 왜 사냐 너 그럴라고 나 만나는거냐? 김치년들아
이게 다 문재앙,저거 때문에 음식 만드는데 세 시간이나 걸렸어
언제까지 이것만을 붙잡고 있을거야,너만 아니었으면 진작에 끝났을 일이야 반성해
내 앞가림은 내가 알아서 할게,그러면 오지랖 못떨게끔 조용히 살던가
너무 지루하다,니가 뭘 알아? 하는 거라고는 집에서 누워 있는 거 밖에 더하나
둘이 결혼하는데 왜 그렇게 난리?,그거 조금 먹었다고 힘들다고 찡찡 거리는 꼴 진짜 역겹다
너무 바빠서 그런가,너만 바쁘냐? 난 뭐 시간이 넘쳐나서 그런 거 같아? 한번만 더 읽십시다 진짜 죽여버린다
나혼자 짜는 중,넌 맨날 천날 짜면 뭐하나 제대로 한적이 없는데 의지도없는 놈
이번 주말에 놀러 갈래?,넌 아무것도 안하면서 맨날 그런 생각뿐이니?
청약 통장이 뭔지도 모른다고? 진짜 말도 안돼,청약 통장에라고 한 걸 청약통장을 모른다라고 해석한 니가 더 말이 안 됨.
저 옷들 다 이런 거 밖에 없는데,회사에는 다른 옷으로 입고 오시는 게 어떨까요? 그렇게 입고 나오는 게 av배우들이랑 뭐가 달라요.
니네 집에 가면 왜 나만 설거지 해야 해?,대신 요리를 너희 엄마가 다 하잖아 우리 엄마가 너를 많이 아끼시는데 그런 소리하면 실망하셔
얘는 참 사람이 한결같구나,너 지금 내가 발전이 없다라는걸 돌려 말하는 거야? 왜 이렇게 말을 해.
너야말로 오지랖부리는거 아니야,그게 왜 문제인지 왜모르니 너같은 사회악에게 헛짓거리는 오지랖이 아니야
그냥 아무도 안 만나고 나랑만 놀았으면 좋겠어,너 진짜 그 정도면 정신병이야
식당은 감사히 있어야지,니가 뭔데 우리 애한테 이래라 저래라야? 남의 애 기를 쓰고 난리야 별것도 아닌데
그럼 니가 딴게 뭔데,아이고야 웃자고 하는 소리인데 왜 죽일 듯이 덤비냐.
너가 어떻게 나한테 그럴 수가 있어?,저게 뭘 어쨌다고 그래
"그냥 평범하고, 노래를 잘하는것도 아닌데 뭐가 대단하다고",요새 진짜 왜 이렇게 나를 화나게 만들지?
우리 이번 주 과제 있었죠.,모르면 좀 스스로 알아보려고 찾는 노력이라도 해라 이이련아
핑프는 뭔데?,존나 속터져 니련같이 시도때도 쳐 찔러보는거 스스로 할줄 아는게 뭐임.
야 방금 그 여자는 누구야,너나 잘 좀 해 너가 그러니까 데이트폭력이나 당하는거지 으휴
오늘 하루종일 왜 연락 안해 ~,너가 내 여자친구지 몰랐냐? 아침부터 밤까지 모든걸 알려고 해 왜
친구들 오는데 조카 데리러 오면 안되나?,내가 니 친구냐? 아님 오라면 오는 내가 내 가족이냐? 왜 이렇게 많은걸 바래
얘는 요새 뭘해도 무기력하네 이게 번아웃인가?,지가 한 게 뭐 있다고 번아웃이냐고 그렇게 따지면 나는 번번아웃 드립이겠다
맨날 징징대는 분위기만 좋아해서 미안해,너 때문에 나까지 우울증 걸리잖아 왜 나한테 피해를 끼쳐
따뜻하고 착한 사람이야,한남이 꼴에 성실하긴 얼마나 성실하다고 칭찬을 하니.
내가봐도 난 남자가울것 같아,귀척 좀 그만해 그러다 남자들도 떠나가
이 옷 이제 작으면 못입겠네,니 남친은 너한테 살 빼라 이런 말 하냐? 누가봐도 빼야할 것 같은데
나도 놀이공원 놀러 가고 싶어,너는 왜 맨날 애새끼같이 굴어? 나잇값 좀 해
내가 산 거랑 똑같이 생겼는데 진짜 내 꺼야??,글쎄 내 꺼라니까. 내가 니 물건이나 훔쳐먹을 줄 알아? 달랑 천 백원 짜리로 사람 의심해서 도둑놈 만드니
부장님 좋은 아침 보내 ~,"넌 왜 그렇게 늘 무표정 하고 있냐. 넌 웃는게 훨씬 이쁠텐데, 니가 웃어봐."
야는 누가 내옷 입고 나갔냐,언니가 입어도 되나요?
그래서 머 어쩌라고,너처럼 기 센 여자들은 다 싫어해 ~
니가 뭐라고 내가 니말을 알아야 되는데,너 이제부터 내가하는 말에 악플달지마
그시간에 대놓고 잘 곳을 찾는 너는 정말 뭔 생각으로 사는거니?,아니 어짜피 돈도 없는데 같이 자면 어때서 예민하게 구어
점심에면 세트 하나 먹었지,여자가 햄버거 세트를 혼자만 먹는다고?
알고보니 거기 다단계래 어떡하지.,니가 멍청하니 그렇게 사기를 당하지 다단계업체들 수법보면 너무 빤히 보이던데 그런 사기극에 놀아 난게 더 신기해
나도 같이 일하는데 왜 남자가 집안일 해야해? 똑같이 해야지! 이대로는 나 억울해서 못살겠어!!,원래 임신은 여자가 하는거야 다른 남자는 다 하는데 왜 남자는 안한다고 그래
너 같이 약속지키던 애들 때문에 미쳐버리겠어,네가 인내심이 없는 거면서 왜 남 탓이야? 좀 기다릴 줄도 알아야지
이상한 소리 지껄이면 저리가,역시 피싸는 여자라 그런지 예민하네
잘 지냈어?,너 따위 상대하기 싫으니까 그만 좀 쳐 물어봐라.
그러게 내가 할일없이 쳐놀지 말고 일 미리미리 하랬잖아 한심아,아니 내가 뭘 쳐놀았다그래 알지도못하면 입닫자
너무이네,어휴 월급도 쥐꼬리만큼 없으면서 말들은 드럽게 많아요
내가 분명히 오늘까지 완성한 카톡 했잖아,못 봤는데 ㅜㅜ
성형한다는 애들 이해가 안감 돈들여서 안정성 보장도 안된 이물질을 삽입을 싶하나?,너는 결혼하고 싶어도 돈 없어서 못하는 거잖아
나는 호르몬에 따라서 먹고 싶은게 달라지는 편이다,어쩌라고 일반인 남 결혼까지 신경써야 되냐?
술 먹는건 문제가 아니잖아,술 좀 작작 처마셔 넌 내가 얼마나 싫어하는지 생각만 하냐?
저번주는 내가 당번이 됐는데 이번주도 내가 또 해?,언제부터 우리가 당황제로 했냐? 지들 싫으니까 말 지어내는 것좀 보소
형은 10살이나 많은 남자랑 사귄다면서요?,넌 네가 어려서 잘 몰라서 그래 과일과 여자는 익을 수록 맛있는거야
우리 나라 화면이 좀 어둡다고 그런 식으로 말해도 되냐?,"야, 우리가 언제너희 가족 다음으로 뭐라고 했냐? 그냥 네 가족이 보고 내가 느낀 점을 느낀건데 성질이야"
내가 저번에 떡볶이 사줬잖아 기억안나냐?,뭐 어쩌라고? 내가 사달라고했냐? 참 형편없는 기자네
그러게 어제 치킨먹지 말자니까 또 먹었잖아 너가,그래서 어쩌라고 너무 먹고싶은걸 어떡해? 넌 내가 먹고싶은거 못먹으면서 살았으면 좋겠어?
내 조상도 아닌데 내가 뭔데 상차리고 치워야 하는 거지?,여자로 태어나서 결혼하면 당연한 거지 나만 그렇게 생각하지 말고 왜 그래
내가 뭐라고 하든 상관 좀 하지마,너 생각해서 한 말이잖아 내가 나 좋으려고 이러는거 아냐?
너 입 함부로 하고 다니지마,너한테 뭐라고 하는 얘기도 아닌데 넌 왜 이렇게 자존감이 낮아?
너랑 내가 그렇게 가까운 친구는 아니라고 생각했는데,이번 기회로 친해질 수도 있는거 아니에요? 저랑 친해져야 학교 다니기 편할텐데요?
준비한거 아무것도 없으면서 선 보겠다는 애 진짜 나사 하나 빠진 거 아니냐.,캐디들 잘만 하면 돈도 벌고번다는데 너는 뭐가 그렇게 꼬여있어?
나 길가다 지갑 잃어버렸어 이거 뭐라고 해야 되지?,경찰서 가겠네 내가 아는 엄마도 아니고 여기다 와서 찡찡대네
넌 뭔데 항상 늦게 나와? 나 안보고싶어?,죽고싶은게 아니라 알람이 안울려서 늦게 일어났어 그렇게 너가 보고 싶었으면 일어났는지 너가 전화라도 했었어야지
얜 진짜 약속을 지킬 줄 모르는 사람이야,내가 이런 약속을 했다 그래 그리고 저능아는 내가 아니라 너지
아 이제 저 식단 유지하는게 힘들다,내가 너 그럴 줄 알았다 그러니까 너가 그 정도밖에 안되는거야
내가 곱창 제일 좋아해,곱창? 곱창 먹는 여자애 처음 봤어 여자애가 더러운 곱창은 잘도 처먹는구나.
나 진짜 어이가 없다 어이가 없어서,이게 뭐 그렇게까지 어이가 없는 일이야.
